Bromelia,Cenario,Replica,Bloco,Coleta,BR (ug C L h),BP (ug C L h),Dias sem rega
46,Mu1K1,2,2,5,0.09101,0.00719,0
46,Mu1K1,3,2,5,0.07349,0.00704,0
51,Mu1K1,1,2,5,0.08633,0.0113,0
51,Mu1K1,2,2,5,0.08492,0.00725,0
51,Mu1K1,3,2,5,0.11349,0.00809,0
13,Mu1K1,1,3,5,0.14929,0.01278,0
13,Mu1K1,2,3,5,0.14121,0.01126,0
13,Mu1K1,3,3,5,0.19437,0.01118,0
16,Mu1K1,1,3,5,0.0679,0.01451,0
16,Mu1K1,2,3,5,0.09205,0.01349,0
16,Mu1K1,3,3,5,0.07481,0.00634,0
22,Mu1K1,1,4,5,0.03825,0.00741,0
22,Mu1K1,2,4,5,0.07031,0.01277,0
22,Mu1K1,3,4,5,0.06995,0.01286,0
29,Mu1K1,1,4,5,0.13197,0.01383,0
29,Mu1K1,2,4,5,0.11066,0.01252,0
29,Mu1K1,3,4,5,0.0695,0.01478,0
4,Mu1K1,1,5,5,0.14583,0.01039,0
4,Mu1K1,2,5,5,0.2017,0.01075,0
4,Mu1K1,3,5,5,0.12915,0.01103,0
33,Mu1K1,1,5,5,0.06152,0.0084,0
33,Mu1K1,2,5,5,0.06797,0.0118,0
33,Mu1K1,3,5,5,0.06452,0.01359,0
