Sample,Carbon,Guild,Scenario,Mu,K,Bloco,ABS-120,
24,Tween 40,Polymers,Mu1K0.5,Mu1,k0.5,2,"0,252132893",
24,I-Erythritol,Carbohydates,Mu1K0.5,Mu1,k0.5,2,0,
24,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,L-Phenylalanine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,L-Serine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"1,269700289",
24,D-Mannitol,Carbohydates,Mu1K0.5,Mu1,k0.5,2,0,
24,Tween 80,Polymers,Mu1K0.5,Mu1,k0.5,2,"0,889089584",
24,α-Cyclodextrin,Polymers,Mu1K0.5,Mu1,k0.5,2,"0,127489567",
24,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"1,154367924",
24,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,L-Threonine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,736547709",
24,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"0,170022368",
24,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,2,0,
24,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"1,180548668",
24,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,2,0,
24,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,2,0,
24,Putrescina,Amines/Amides,Mu1K0.5,Mu1,k0.5,2,"0,618766308",
24,D-Malic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K0.5,Mu1,k0.5,2,0,
24,α-D-Lactose,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,380443573",
26,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,"0,676431299",
26,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,463189245",
26,L-Arginine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,639645696",
26,L-Asparigine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,141974569",
26,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,D-Xylose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,Tween 40,Polymers,Mu0.1K0.5,Mu0.1,k0.5,4,"1,033244253",
26,I-Erythritol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,"0,777660966",
26,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,L-Phenylalanine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,922241807",
26,L-Serine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,944289804",
26,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,828541637",
26,D-Mannitol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,"0,913904786",
26,Tween 80,Polymers,Mu0.1K0.5,Mu0.1,k0.5,4,"0,711564184",
26,α-Cyclodextrin,Polymers,Mu0.1K0.5,Mu0.1,k0.5,4,"0,97657311",
26,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,"1,075941921",
26,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,L-Threonine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,275823236",
26,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,330786825",
26,Itaconic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,895937562",
26,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,Glycogen,Polymers,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,D-Cellobiose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,"0,632887006",
26,Glucose-1-Phosphate,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,4,"0,796246171",
26,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,"0,720985055",
26,Phenylethylamine,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,4,"1,134805799",
26,Putrescina,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,4,"1,227074743",
26,D-Malic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,4,0,
26,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,4,"0,551248193",
26,α-D-Lactose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,4,"0,188268304",
27,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,3,0,
27,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,0,
27,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,0,
27,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"1,227694512",
27,D-Galactoronic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,377472401",
27,D-Xylose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,078798294",
27,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"1,402264595",
27,Tween 40,Polymers,Mu1K0.5,Mu1,k0.5,3,"1,200135708",
27,I-Erythritol,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,253809929",
27,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,204558849",
27,L-Phenylalanine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"0,710873842",
27,L-Serine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"1,462647915",
27,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,694601536",
27,D-Mannitol,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"0,964537382",
27,Tween 80,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,994232893",
27,α-Cyclodextrin,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,911613464",
27,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,446085453",
27,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,0,
27,L-Threonine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,0,
27,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"1,540572882",
27,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,649279118",
27,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,547962546",
27,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,857372284",
27,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,727406025",
27,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"0,763857842",
27,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,0,
27,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,3,"0,584486962",
27,Putrescina,Amines/Amides,Mu1K0.5,Mu1,k0.5,3,"1,672127009",
27,D-Malic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,710188866",
27,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"0,674278259",
27,α-D-Lactose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"0,571171522",
28,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"0,850213051",
28,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,476368905",
28,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,431557656",
28,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"1,364484549",
28,D-Galactoronic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"1,074927092",
28,D-Xylose,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,128287793",
28,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K0.5,Mu1,k0.5,4,"1,073738814",
28,Tween 40,Polymers,Mu1K0.5,Mu1,k0.5,4,"1,529816628",
28,I-Erythritol,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"0,644044996",
28,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
28,L-Phenylalanine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,717472792",
28,L-Serine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"1,452787877",
28,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"1,618702889",
28,D-Mannitol,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,548580647",
28,Tween 80,Polymers,Mu1K0.5,Mu1,k0.5,4,"1,42736435",
28,α-Cyclodextrin,Polymers,Mu1K0.5,Mu1,k0.5,4,"0,590590239",
28,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,765153408",
28,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
28,L-Threonine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,644624472",
28,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"1,093313694",
28,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"1,5249784",
28,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,374149919",
28,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,4,"0,618323088",
28,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,733249188",
28,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,4,"0,004999876",
28,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,212782503",
28,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,4,"0,171745062",
28,Putrescina,Amines/Amides,Mu1K0.5,Mu1,k0.5,4,"1,715322495",
28,D-Malic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
28,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K0.5,Mu1,k0.5,4,"0,873456002",
28,α-D-Lactose,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,338749648",
29,Β-Methil-D-Glucoside,Carbohydates,Mu1K1,Mu1,k1,4,0,
29,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K1,Mu1,k1,4,0,
29,L-Arginine,Amino Acids,Mu1K1,Mu1,k1,4,0,
29,L-Asparigine,Amino Acids,Mu1K1,Mu1,k1,4,"1,27739656",
29,D-Galactoronic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,330093503",
29,D-Xylose,Carbohydates,Mu1K1,Mu1,k1,4,"1,235034585",
29,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K1,Mu1,k1,4,"1,386190295",
29,Tween 40,Polymers,Mu1K1,Mu1,k1,4,"0,952102065",
29,I-Erythritol,Carbohydates,Mu1K1,Mu1,k1,4,"0,495128512",
29,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"0,639930368",
29,L-Phenylalanine,Amino Acids,Mu1K1,Mu1,k1,4,"0,744029403",
29,L-Serine,Amino Acids,Mu1K1,Mu1,k1,4,"1,435391784",
29,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,631898522",
29,D-Mannitol,Carbohydates,Mu1K1,Mu1,k1,4,"1,671402812",
29,Tween 80,Polymers,Mu1K1,Mu1,k1,4,"1,438324332",
29,α-Cyclodextrin,Polymers,Mu1K1,Mu1,k1,4,"0,677295327",
29,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K1,Mu1,k1,4,"1,475835681",
29,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,0,
29,L-Threonine,Amino Acids,Mu1K1,Mu1,k1,4,0,
29,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K1,Mu1,k1,4,"1,516664386",
29,Itaconic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,386579156",
29,D-Glucosaminic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,046501994",
29,Glycogen,Polymers,Mu1K1,Mu1,k1,4,"0,875714421",
29,D-Cellobiose,Carbohydates,Mu1K1,Mu1,k1,4,"1,33547771",
29,Glucose-1-Phosphate,Miscellaneous,Mu1K1,Mu1,k1,4,"0,537093759",
29,α-Kentocutyric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"0,27587235",
29,Phenylethylamine,Amines/Amides,Mu1K1,Mu1,k1,4,0,
29,Putrescina,Amines/Amides,Mu1K1,Mu1,k1,4,"1,538820386",
29,D-Malic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"0,64877069",
29,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K1,Mu1,k1,4,"0,626937151",
29,α-D-Lactose,Carbohydates,Mu1K1,Mu1,k1,4,"1,569203258",
36,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,0,
36,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
36,L-Arginine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
36,L-Asparigine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,997605324",
36,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"1,267670393",
36,D-Xylose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"1,088103056",
36,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,2,"1,045915365",
36,Tween 40,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"1,338505983",
36,I-Erythritol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,997237205",
36,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,65128541",
36,L-Phenylalanine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,902329206",
36,L-Serine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,623856783",
36,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,960657358",
36,D-Mannitol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,103702068",
36,Tween 80,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"1,187115431",
36,α-Cyclodextrin,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"1,347023248",
36,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"1,425446748",
36,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
36,L-Threonine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,119164228",
36,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,722764015",
36,Itaconic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,658346176",
36,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
36,Glycogen,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"0,239317655",
36,D-Cellobiose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"1,566920519",
36,Glucose-1-Phosphate,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,2,"0,008094787",
36,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
36,Phenylethylamine,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,2,"0,966751814",
36,Putrescina,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,2,"1,184180259",
36,D-Malic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,568977952",
36,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,2,"0,985498428",
36,α-D-Lactose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,710945368",
38,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"1,252685309",
38,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,"1,191375494",
38,L-Arginine,Amino Acids,Mu0.1K1,Mu0.1,k1,3,"1,030041933",
38,L-Asparigine,Amino Acids,Mu0.1K1,Mu0.1,k1,3,"0,788770676",
38,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,"0,683436871",
38,D-Xylose,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"0,454073429",
38,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K1,Mu0.1,k1,3,"0,224058628",
38,Tween 40,Polymers,Mu0.1K1,Mu0.1,k1,3,"1,358635426",
38,I-Erythritol,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"0,924439669",
38,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,0,
38,L-Phenylalanine,Amino Acids,Mu0.1K1,Mu0.1,k1,3,"0,522251845",
38,L-Serine,Amino Acids,Mu0.1K1,Mu0.1,k1,3,"1,564251662",
38,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,"1,590503454",
38,D-Mannitol,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"1,473635435",
38,Tween 80,Polymers,Mu0.1K1,Mu0.1,k1,3,"1,316594363",
38,α-Cyclodextrin,Polymers,Mu0.1K1,Mu0.1,k1,3,"1,173574925",
38,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"1,901970148",
38,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,0,
38,L-Threonine,Amino Acids,Mu0.1K1,Mu0.1,k1,3,"0,36015296",
38,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K1,Mu0.1,k1,3,"1,525337935",
38,Itaconic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,"1,408242941",
38,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,"0,496513605",
38,Glycogen,Polymers,Mu0.1K1,Mu0.1,k1,3,"1,019574881",
38,D-Cellobiose,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"1,94733119",
38,Glucose-1-Phosphate,Miscellaneous,Mu0.1K1,Mu0.1,k1,3,"1,157192469",
38,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,"0,558473826",
38,Phenylethylamine,Amines/Amides,Mu0.1K1,Mu0.1,k1,3,"0,6893816",
38,Putrescina,Amines/Amides,Mu0.1K1,Mu0.1,k1,3,"2,006676436",
38,D-Malic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,3,0,
38,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K1,Mu0.1,k1,3,"0,565659166",
38,α-D-Lactose,Carbohydates,Mu0.1K1,Mu0.1,k1,3,"0,615701437",
40,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"0,759886742",
40,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,339995623",
40,L-Arginine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,358415604",
40,L-Asparigine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,369209051",
40,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,145798445",
40,D-Xylose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,186761856",
40,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,3,"1,025835276",
40,Tween 40,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,390966177",
40,I-Erythritol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,540674925",
40,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,0,
40,L-Phenylalanine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,414007664",
40,L-Serine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,484994173",
40,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,642072678",
40,D-Mannitol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,239068747",
40,Tween 80,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,148655177",
40,α-Cyclodextrin,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,133285284",
40,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,600538969",
40,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,0,
40,L-Threonine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,233702064",
40,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,198107005",
40,Itaconic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,370794535",
40,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,751507521",
40,Glycogen,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,025847674",
40,D-Cellobiose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,750524283",
40,Glucose-1-Phosphate,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,3,"0,805435419",
40,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,578743458",
40,Phenylethylamine,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,3,"0,349606753",
40,Putrescina,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,3,"1,768084288",
40,D-Malic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,052517295",
40,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,3,"1,010548354",
40,α-D-Lactose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"0,879175902",
44,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,0,
44,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,0,
44,L-Arginine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,0,
44,L-Asparigine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,303238869",
44,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,468040466",
44,D-Xylose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,201942444",
44,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,3,"1,422145605",
44,Tween 40,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,33922863",
44,I-Erythritol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"0,452015638",
44,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,135898471",
44,L-Phenylalanine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,006052494",
44,L-Serine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,555924177",
44,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,543297767",
44,D-Mannitol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"0,98219347",
44,Tween 80,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,269301891",
44,α-Cyclodextrin,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"1,183674335",
44,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,676353693",
44,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,042552829",
44,L-Threonine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,709233284",
44,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,200965881",
44,Itaconic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"1,451987982",
44,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,791230917",
44,Glycogen,Polymers,Mu0.1K0.5,Mu0.1,k0.5,3,"0,553823948",
44,D-Cellobiose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"1,720589161",
44,Glucose-1-Phosphate,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,3,"1,079730511",
44,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,350205898",
44,Phenylethylamine,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,3,"0,824594498",
44,Putrescina,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,3,"1,659101009",
44,D-Malic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,3,"0,479548216",
44,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,3,"1,147892237",
44,α-D-Lactose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,3,"0,669715881",
46,Β-Methil-D-Glucoside,Carbohydates,Mu1K1,Mu1,k1,2,"1,228917598",
46,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,85906434",
46,L-Arginine,Amino Acids,Mu1K1,Mu1,k1,2,"1,084289073",
46,L-Asparigine,Amino Acids,Mu1K1,Mu1,k1,2,"0,77003026",
46,D-Galactoronic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,603722095",
46,D-Xylose,Carbohydates,Mu1K1,Mu1,k1,2,"0,397257089",
