Sample,Carbon,Guild,Scenario,Mu,K,Bloco,ABS-120,
6,Glycogen,Polymers,Mu0.1K1,Mu0.1,k1,4,0,
6,D-Cellobiose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,562458277",
6,Glucose-1-Phosphate,Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"1,063070536",
6,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,264391422",
6,Phenylethylamine,Amines/Amides,Mu0.1K1,Mu0.1,k1,4,"1,007117033",
6,Putrescina,Amines/Amides,Mu0.1K1,Mu0.1,k1,4,"1,52495122",
6,D-Malic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,0,
6,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"0,067649126",
6,α-D-Lactose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,209195852",
12,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,445473195",
12,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
12,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,031705738",
12,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,738281727",
12,D-Galactoronic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"0,883604527",
12,D-Xylose,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,88298893",
12,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K0.5,Mu1,k0.5,2,"0,733647347",
12,Tween 40,Polymers,Mu1K0.5,Mu1,k0.5,2,"0,745339871",
12,I-Erythritol,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,08161974",
12,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
12,L-Phenylalanine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,000954152",
12,L-Serine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,883825303",
12,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"1,380172491",
12,D-Mannitol,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,431494236",
12,Tween 80,Polymers,Mu1K0.5,Mu1,k0.5,2,"1,171122075",
12,α-Cyclodextrin,Polymers,Mu1K0.5,Mu1,k0.5,2,"0,549820185",
12,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"1,273690463",
12,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
